,0,1,2,3,4,5,6,7,8,9,10
63,0.693,0.893,2.0,-0.257,1.0,0.15,0.0829,0.0,0.0921,0.515,171.971
64,0.702,0.788,5.0,-1.455,0.0,0.251,0.12,0.0,0.171,0.645,163.903
65,0.695,0.797,7.0,-5.199,1.0,0.0548,0.00259,0.112,0.664,0.297,124.972
66,0.524,0.913,3.0,-3.069,0.0,0.05,0.106,0.000131,0.177,0.644,123.936
67,0.663,0.589,6.0,-8.091,0.0,0.191,0.209,0.000599,0.109,0.412,97.949
68,0.592,0.731,7.0,-5.794,0.0,0.0404,0.0185,0.0,0.726,0.392,166.028
69,0.502,0.777,1.0,-4.627,1.0,0.0934,0.117,2.91e-06,0.0957,0.356,174.153
70,0.485,0.928,10.0,-3.451,0.0,0.445,0.134,2.92e-05,0.217,0.348,160.165
71,0.626,0.836,7.0,-5.956,0.0,0.0406,0.103,0.0,0.129,0.683,92.001
72,0.699,0.861,4.0,-3.09,0.0,0.173,0.0589,2.64e-06,0.0794,0.315,125.942
73,0.74,0.831,1.0,-3.828,1.0,0.0423,0.089,0.0,0.0837,0.357,91.026
74,0.634,0.724,5.0,-5.842,0.0,0.0546,0.00499,0.000193,0.0732,0.309,148.024
75,0.738,0.561,4.0,-8.488,0.0,0.379,0.0152,0.0,0.13,0.232,159.976
76,0.602,0.777,9.0,-5.902,0.0,0.0877,0.226,0.000367,0.0854,0.482,140.026
77,0.542,0.879,6.0,-1.427,0.0,0.0921,0.0523,0.0,0.171,0.118,159.888
78,0.878,0.933,1.0,-3.093,0.0,0.277,0.126,0.0,0.531,0.601,154.006
79,0.481,0.857,0.0,-3.86,1.0,0.163,0.0773,4.13e-06,0.195,0.258,159.683
80,0.489,0.772,5.0,-5.43,0.0,0.141,0.00931,6.96e-05,0.439,0.406,87.042
81,0.68,0.983,2.0,-3.51,1.0,0.333,0.0184,0.0,0.289,0.263,149.829
82,0.57,0.903,9.0,-4.835,1.0,0.0905,0.0748,0.0,0.199,0.603,93.943
83,0.504,0.819,0.0,-4.697,1.0,0.135,0.122,1.61e-05,0.107,0.281,159.968
84,0.716,0.901,1.0,-6.104,1.0,0.0653,0.124,0.06,0.269,0.437,120.996
85,0.694,0.842,1.0,-5.057,1.0,0.0408,0.0492,0.00175,0.294,0.602,106.037
86,0.687,0.843,9.0,-2.974,1.0,0.0312,0.208,0.000917,0.0751,0.344,126.012
87,0.613,0.669,8.0,-3.603,1.0,0.0841,0.0155,5.96e-05,0.74,0.142,149.191
88,0.814,0.951,11.0,-1.981,1.0,0.0715,0.0118,0.0,0.628,0.264,104.003
89,0.447,0.868,2.0,-4.875,1.0,0.234,0.026,2.52e-06,0.73,0.42,85.873
90,0.592,0.731,7.0,-5.794,0.0,0.0404,0.0185,0.0,0.726,0.392,166.028
91,0.558,0.841,11.0,-6.303,0.0,0.0912,0.0527,0.0,0.322,0.644,158.895
92,0.549,0.644,4.0,-6.066,0.0,0.173,0.279,0.0,0.109,0.23,139.89
93,0.636,0.891,6.0,-5.946,1.0,0.0589,0.107,0.0337,0.215,0.595,124.005
94,0.401,0.956,8.0,-2.186,0.0,0.06,0.308,0.0032,0.263,0.236,140.058
95,0.715,0.989,2.0,-1.723,1.0,0.194,0.00931,0.109,0.0475,0.674,128.054
96,0.435,0.744,4.0,-5.097,0.0,0.0607,0.0457,4.21e-06,0.123,0.199,139.2
97,0.52,0.898,6.0,-1.527,0.0,0.201,0.0853,0.0,0.163,0.13,159.855
98,0.419,0.902,7.0,-2.082,1.0,0.161,0.0865,0.000989,0.34,0.469,145.009
99,0.539,0.954,1.0,-3.054,0.0,0.12,0.00224,0.835,0.0623,0.389,129.956
100,0.783,0.537,9.0,-2.921,1.0,0.0749,0.278,0.0,0.229,0.392,113.977
101,0.531,0.675,0.0,-3.281,1.0,0.33,0.121,0.0,0.327,0.799,177.953
102,0.837,0.492,0.0,-7.792,1.0,0.354,0.371,0.0401,0.102,0.417,85.951
103,0.618,0.59,11.0,-7.751,0.0,0.359,0.559,3.42e-05,0.208,0.285,127.275
